MQ135,MQ7,Temperature,Humidity,Risk
192,299,19.8,45.1,Moderate Risk
525,510,31.3,50.6,CO Poisoning Risk
360,321,26.8,34.3,High Risk
196,508,29.8,38.6,CO Poisoning Risk
161,546,23.0,55.5,CO Poisoning Risk
790,485,19.7,71.1,CO Poisoning Risk
110,113,26.1,75.3,Safe
704,553,22.0,74.8,CO Poisoning Risk
211,370,18.3,79.0,High Risk
556,111,33.1,34.8,High Risk
304,348,24.4,30.2,High Risk
420,528,33.3,33.7,CO Poisoning Risk
548,592,24.4,60.4,CO Poisoning Risk
177,461,26.4,58.0,CO Poisoning Risk
462,203,36.9,64.2,Moderate Risk
189,193,35.8,48.0,Moderate Risk
753,71,19.5,49.1,Moderate Risk
220,628,33.8,57.5,CO Poisoning Risk
751,292,22.4,32.3,High Risk
398,145,14.7,71.2,Moderate Risk
859,140,26.8,77.8,High Risk
433,428,36.4,48.9,High Risk
581,326,36.4,67.9,High Risk
503,366,16.0,57.6,Moderate Risk
895,440,31.5,40.7,Asthma Risk
475,322,32.3,31.7,High Risk
281,573,21.8,41.3,CO Poisoning Risk
366,307,28.8,60.7,Moderate Risk
250,624,24.7,30.2,CO Poisoning Risk
549,337,18.5,73.2,Moderate Risk
403,338,31.3,80.4,High Risk
111,439,19.3,32.5,High Risk
342,557,21.2,41.3,CO Poisoning Risk
837,224,17.6,64.5,Moderate Risk
650,279,30.3,71.5,Moderate Risk
564,381,24.0,46.7,Moderate Risk
148,52,23.6,55.8,Safe
600,487,27.5,76.2,CO Poisoning Risk
771,583,16.8,48.8,CO Poisoning Risk
565,135,34.6,32.4,High Risk
789,316,24.2,81.7,High Risk
872,49,21.8,37.7,Moderate Risk
279,638,16.0,30.6,CO Poisoning Risk
776,263,17.0,50.2,Moderate Risk
652,162,35.1,34.6,Asthma Risk
656,637,24.0,80.9,CO Poisoning Risk
333,626,30.3,48.6,CO Poisoning Risk
594,159,14.9,72.6,Moderate Risk
220,307,28.4,37.5,Moderate Risk
574,350,35.1,35.5,High Risk
908,466,20.2,63.1,CO Poisoning Risk
736,251,26.9,77.1,High Risk
110,347,35.6,34.2,High Risk
256,156,30.3,59.8,Safe
363,461,14.5,32.6,CO Poisoning Risk
477,599,22.1,71.9,CO Poisoning Risk
690,329,15.1,77.1,High Risk
405,229,33.7,62.0,Moderate Risk
103,265,27.9,65.2,Moderate Risk
331,488,36.0,31.0,CO Poisoning Risk
866,161,13.5,31.9,High Risk
435,114,23.2,37.7,Moderate Risk
654,114,15.5,42.8,Moderate Risk
429,471,21.4,69.0,CO Poisoning Risk
181,612,16.9,51.5,CO Poisoning Risk
456,487,20.9,32.2,CO Poisoning Risk
544,645,32.7,74.0,CO Poisoning Risk
517,181,16.9,81.7,Moderate Risk
598,548,24.4,52.6,CO Poisoning Risk
865,175,35.1,55.6,High Risk
124,262,37.0,32.2,Moderate Risk
295,215,19.0,48.7,Moderate Risk
170,519,35.5,48.1,CO Poisoning Risk
651,173,19.3,80.2,High Risk
477,101,22.9,63.7,Moderate Risk
91,225,34.1,70.2,Moderate Risk
479,290,31.9,34.9,Moderate Risk
655,188,33.6,50.5,High Risk
195,95,32.2,38.3,Safe
861,412,18.6,74.5,Moderate Risk
911,503,26.4,36.2,CO Poisoning Risk
566,262,22.2,51.7,Moderate Risk
792,611,24.0,30.9,CO Poisoning Risk
491,301,16.7,62.3,Moderate Risk
819,200,20.6,54.0,Moderate Risk
645,609,33.6,54.9,CO Poisoning Risk
251,486,34.5,33.5,CO Poisoning Risk
291,69,27.6,55.8,Safe
359,580,25.0,58.4,CO Poisoning Risk
905,104,30.1,80.0,High Risk
360,511,27.6,29.8,CO Poisoning Risk
545,478,36.6,77.8,CO Poisoning Risk
551,110,17.6,53.9,Moderate Risk
816,609,23.8,39.3,CO Poisoning Risk
341,150,35.0,63.9,Moderate Risk
791,140,35.0,55.9,High Risk
385,595,24.9,40.2,CO Poisoning Risk
814,212,16.2,61.8,Moderate Risk
809,86,32.6,53.6,High Risk
838,148,27.0,65.2,Moderate Risk
427,248,31.6,65.2,Moderate Risk
142,564,24.1,53.5,CO Poisoning Risk
881,326,17.9,49.1,Moderate Risk
306,87,13.6,31.4,Safe
853,154,26.4,54.7,Moderate Risk
277,254,16.9,41.1,Moderate Risk
469,93,17.5,30.9,Moderate Risk
582,159,23.5,45.8,Moderate Risk
130,199,23.6,32.7,Moderate Risk
246,547,19.6,59.3,CO Poisoning Risk
104,115,16.2,55.2,Safe
902,563,35.7,70.8,CO Poisoning Risk
154,380,16.2,42.5,Moderate Risk
610,111,21.4,48.1,Moderate Risk
433,537,20.3,65.2,CO Poisoning Risk
218,257,33.8,81.6,Moderate Risk
737,225,22.8,76.8,High Risk
561,643,16.0,56.1,CO Poisoning Risk
152,647,13.2,64.6,CO Poisoning Risk
228,292,30.3,56.7,Moderate Risk
588,258,30.1,51.5,Moderate Risk
682,403,23.0,60.5,Moderate Risk
481,293,16.0,48.9,Moderate Risk
764,560,21.9,43.1,CO Poisoning Risk
508,132,27.2,66.1,Moderate Risk
378,220,29.9,75.1,Moderate Risk
468,470,14.9,43.6,CO Poisoning Risk
862,647,26.4,66.2,CO Poisoning Risk
579,125,19.6,51.4,Moderate Risk
320,182,27.8,44.3,Safe
130,477,28.6,61.5,CO Poisoning Risk
117,514,34.9,78.7,CO Poisoning Risk
224,394,22.8,47.0,Moderate Risk
290,170,25.9,69.0,Safe
869,353,19.4,45.0,Moderate Risk
122,274,19.9,71.4,Moderate Risk
137,504,14.1,69.0,CO Poisoning Risk
592,389,19.9,69.3,Moderate Risk
496,354,14.5,81.9,High Risk
663,64,36.1,35.6,Asthma Risk
817,605,28.0,49.0,CO Poisoning Risk
894,585,17.2,62.1,CO Poisoning Risk
188,604,15.8,59.9,CO Poisoning Risk
773,521,21.9,70.2,CO Poisoning Risk
815,313,20.4,30.5,High Risk
636,47,19.7,66.1,Moderate Risk
828,60,24.2,67.8,Moderate Risk
702,402,34.9,31.3,Asthma Risk
551,177,26.6,57.1,Moderate Risk
732,356,25.5,41.2,Moderate Risk
858,526,32.4,71.3,CO Poisoning Risk
94,588,13.1,30.7,CO Poisoning Risk
307,349,17.7,35.9,Moderate Risk
592,313,24.9,33.6,High Risk
856,458,29.9,31.5,CO Poisoning Risk
487,69,24.6,60.4,Moderate Risk
884,360,16.9,74.9,Moderate Risk
482,615,35.3,55.6,CO Poisoning Risk
296,320,20.9,39.4,Moderate Risk
104,433,31.9,46.6,High Risk
643,488,34.4,47.5,CO Poisoning Risk
550,471,21.3,52.4,CO Poisoning Risk
780,101,33.3,50.7,High Risk
664,610,30.1,64.2,CO Poisoning Risk
832,412,34.7,46.4,High Risk
330,386,19.0,63.8,Moderate Risk
653,348,35.4,57.5,High Risk
185,418,14.6,30.6,High Risk
823,156,32.0,77.7,High Risk
574,50,23.5,37.6,Moderate Risk
496,323,17.3,52.4,Moderate Risk
320,426,14.9,79.2,High Risk
838,57,22.3,41.4,Moderate Risk
744,347,22.3,29.2,High Risk
260,600,18.5,54.5,CO Poisoning Risk
630,204,18.2,40.1,Moderate Risk
125,198,22.6,59.4,Moderate Risk
614,225,22.8,72.1,Moderate Risk
249,570,23.6,55.6,CO Poisoning Risk
788,224,33.9,62.8,High Risk
332,421,27.7,64.0,Moderate Risk
175,212,13.5,72.3,Moderate Risk
885,258,25.5,65.1,Moderate Risk
667,194,31.3,80.7,High Risk
771,60,14.4,52.6,Moderate Risk
646,135,23.1,30.7,High Risk
663,164,23.8,49.3,Moderate Risk
735,297,35.9,73.4,High Risk
885,104,24.4,35.2,Moderate Risk
117,310,31.0,67.7,Moderate Risk
709,453,20.3,56.9,CO Poisoning Risk
645,75,31.7,76.6,High Risk
429,65,20.7,67.5,Moderate Risk
887,637,23.3,63.7,CO Poisoning Risk
420,333,24.5,75.9,High Risk
729,587,35.2,77.0,CO Poisoning Risk
595,542,14.3,48.8,CO Poisoning Risk
437,518,17.7,78.1,CO Poisoning Risk
562,449,29.9,31.0,High Risk
320,592,26.9,69.2,CO Poisoning Risk
279,176,19.0,46.2,Safe
314,368,19.9,54.3,Moderate Risk
474,176,21.8,73.1,Moderate Risk
466,565,23.8,62.4,CO Poisoning Risk
372,74,32.6,52.7,Moderate Risk
722,345,13.3,36.9,Moderate Risk
717,48,34.6,78.7,High Risk
834,369,22.9,46.0,Moderate Risk
348,553,18.5,33.5,CO Poisoning Risk
448,281,25.2,58.5,Moderate Risk
799,579,28.8,49.9,CO Poisoning Risk
545,60,14.1,59.9,Moderate Risk
500,578,30.2,40.6,CO Poisoning Risk
738,628,31.3,48.5,CO Poisoning Risk
